CRN,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,INTERSECTION_RELATED,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,ROADWAY_CLEARED,SCH_BUS_IND,SCH_ZONE_IND,SECONDARY_CRASH,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WEATHER1,WEATHER2,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,WZ_WORKERS_INJ_KILLED
2022027568,1828.0,1,0,0,0,0,0,0,0,0,7,0,,67,3,2022,4,40.0435,-75.0031,1812.0,6,0,0,0,0,1,0,0,0,,0,0,0.0,18,3,0,0,N,0,40 02:36.662,,0,75 00:11.043,0,0,0,0,67301,0,0,0,N,0,0,0,1,68K01,0,,4,9,,N,N,N,0,,0,0,0,3,8,,1808,0,1,0,0,0,0,0,3,4,0,1,7,,N,,,,,,,,,,,
2022026961,2125.0,2,0,0,0,0,0,0,0,0,5,0,,67,3,2022,1,39.9436,-75.1568,2123.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,21,3,0,1,,0,39 56:37.020,,0,75 09:24.594,0,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,N,0,,0,0,0,3,2,,2120,0,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2022002986,1743.0,0,0,0,0,0,0,0,0,0,1,0,,67,1,2022,7,40.0172,-75.0501,1725.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,17,2,0,0,N,0,40 01:01.962,,0,75 03:00.287,0,0,0,0,67301,0,0,0,N,0,0,0,2,68K01,0,,1,1,,N,N,N,1,,0,0,1,0,0,,1725,0,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022002955,1543.0,1,0,0,0,0,0,0,0,0,7,0,,67,1,2022,4,39.9187,-75.148,1543.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,15,1,0,0,N,1,39 55:07.396,3.0,0,75 08:52.831,0,0,0,0,67301,0,0,0,N,0,0,0,1,68K01,0,,4,1,1640.0,N,N,N,0,,0,0,0,0,0,N,1542,0,1,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022027261,819.0,2,0,0,0,0,0,0,0,0,1,0,,67,3,2022,5,39.8962,-75.2148,817.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,5,5,0,0,N,0,39 53:46.140,,0,75 12:53.420,0,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,1,9,,N,N,N,0,,0,0,0,0,0,,544,0,2,0,0,0,0,0,3,4,0,2,7,,N,,,,,,,,,,,
2022026942,44.0,1,0,0,0,0,0,0,0,0,7,0,,67,3,2022,3,39.9813,-75.2069,41.0,6,0,0,0,1,0,0,0,0,,0,0,0.0,0,2,1,0,N,1,39 58:52.618,3.0,0,75 12:24.892,3,0,0,0,67301,0,0,0,N,0,0,0,1,68K01,0,,4,1,110.0,N,N,N,0,,1,0,0,0,0,N,37,1,1,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022027025,1026.0,1,0,0,0,0,0,0,0,0,4,0,,67,3,2022,4,39.9932,-75.1069,1026.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,7,1,0,1,,9,39 59:35.462,,0,75 06:24.912,9,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,N,0,,0,0,1,9,3,,745,0,2,0,0,0,0,1,3,4,0,2,3,,N,,,,,,,,,,,
2022026094,1305.0,1,0,0,0,0,0,0,0,0,7,0,,67,2,2022,2,40.0088,-75.2049,1301.0,6,0,0,1,0,0,0,0,0,,0,0,0.0,12,1,1,6,N,2,40 00:31.683,7.0,2,75 12:17.742,8,0,0,0,67301,0,0,0,N,0,0,0,1,68K01,0,,4,1,1320.0,N,N,N,0,,0,0,0,3,4,N,1258,1,1,0,0,0,1,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022027043,2012.0,1,0,0,0,0,0,0,0,0,4,0,,67,3,2022,4,40.0072,-75.1996,1959.0,6,0,0,0,0,0,0,1,0,,0,0,0.0,19,3,1,0,N,0,40 00:25.986,,0,75 11:58.473,8,0,0,0,67301,0,0,0,N,0,0,0,2,68K01,0,,1,9,,N,N,N,0,,0,0,0,0,0,,1955,1,2,0,0,0,1,0,3,4,1,2,4,4.0,N,,,,,,,,,,,
2022005785,242.0,1,0,0,0,0,0,0,0,0,7,0,,67,1,2022,7,39.9746,-75.1944,229.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,2,3,0,0,N,0,39 58:28.616,,0,75 11:39.677,0,0,0,0,67301,0,0,0,N,0,0,0,1,68K01,0,,4,1,,N,N,N,0,,0,0,0,0,0,,228,0,1,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
