Country,life_satisfaction,gdp_per_capita
Australia,7.3,50961.87
Austria,7.1,43724.03
Belgium,6.9,40106.63
Brazil,6.4,8670.0
Canada,7.4,43331.96
Chile,6.5,13340.91
Colombia,6.3,6083.51
Czech Republic,6.7,17256.92
Denmark,7.6,52114.17
Estonia,5.7,17288.08
Finland,7.6,41973.99
France,6.5,37675.01
Germany,7.0,40996.51
Greece,5.4,18064.29
Hungary,5.6,12239.89
Iceland,7.5,50854.58
Ireland,7.0,51350.74
Israel,7.2,35343.34
Italy,6.0,29866.58
Japan,5.9,32485.55
Korea,5.9,27195.2
Latvia,5.9,13618.57
Lithuania,5.9,14210.28
Luxembourg,6.9,101994.09
Mexico,6.5,9009.28
Netherlands,7.4,43603.12
New Zealand,7.3,37044.89
Norway,7.6,74822.11
Poland,6.1,12495.33
Portugal,5.4,19121.59
Russia,5.8,9054.91
Slovak Republic,6.2,15991.74
Slovenia,5.9,20732.48
South Africa,4.7,5694.57
Spain,6.3,25864.72
Sweden,7.3,49866.27
Switzerland,7.5,80675.31
Turkey,5.5,9437.37
United Kingdom,6.8,43770.69
United States,6.9,55805.2
