Country,life_satisfaction,GDP per capita,Air pollution,Employment rate,Feeling safe walking alone at night,Homicide rate,Life expectancy,Quality of support network,Voter turnout,Water quality
Australia,7.3,50961.87,5.0,73.0,63.5,1.1,82.5,95.0,91.0,93.0
Austria,7.1,43724.03,16.0,72.0,80.6,0.5,81.7,92.0,80.0,92.0
Belgium,6.9,40106.63,15.0,63.0,70.1,1.0,81.5,91.0,89.0,84.0
Brazil,6.4,8670.0,10.0,61.0,35.6,26.7,74.8,90.0,79.0,73.0
Canada,7.4,43331.96,7.0,73.0,82.2,1.3,81.9,93.0,68.0,91.0
Chile,6.5,13340.91,16.0,63.0,47.9,4.2,79.9,85.0,47.0,71.0
Colombia,6.3,6083.51,10.0,67.0,44.4,24.5,76.2,89.0,53.0,75.0
Czech Republic,6.7,17256.92,20.0,74.0,72.3,0.5,79.1,91.0,61.0,87.0
Denmark,7.6,52114.17,9.0,74.0,83.5,0.6,80.9,95.0,86.0,95.0
Estonia,5.7,17288.08,8.0,74.0,69.0,3.1,77.8,92.0,64.0,84.0
Finland,7.6,41973.99,6.0,70.0,85.1,1.3,81.5,95.0,67.0,95.0
France,6.5,37675.01,13.0,65.0,70.5,0.5,82.4,90.0,75.0,81.0
Germany,7.0,40996.51,14.0,75.0,72.5,0.5,81.1,90.0,76.0,91.0
Greece,5.4,18064.29,18.0,53.0,60.0,0.8,81.5,80.0,64.0,69.0
Hungary,5.6,12239.89,19.0,68.0,56.3,1.0,76.2,86.0,70.0,77.0
Iceland,7.5,50854.58,3.0,86.0,86.0,0.5,82.3,98.0,79.0,99.0
Ireland,7.0,51350.74,7.0,67.0,75.9,0.7,81.8,95.0,65.0,85.0
Israel,7.2,35343.34,21.0,69.0,69.8,1.8,82.5,88.0,72.0,67.0
Italy,6.0,29866.58,18.0,58.0,58.4,0.6,83.3,92.0,73.0,71.0
Japan,5.9,32485.55,14.0,75.0,72.5,0.2,84.1,89.0,53.0,87.0
Korea,5.9,27195.2,28.0,67.0,66.6,1.0,82.4,78.0,77.0,76.0
Latvia,5.9,13618.57,11.0,70.0,62.4,4.8,74.7,86.0,59.0,79.0
Lithuania,5.9,14210.28,14.0,70.0,55.9,3.4,74.8,88.0,51.0,81.0
Luxembourg,6.9,101994.09,12.0,66.0,75.8,0.6,82.8,93.0,91.0,84.0
Mexico,6.5,9009.28,16.0,61.0,41.8,18.1,75.4,81.0,63.0,68.0
Netherlands,7.4,43603.12,14.0,76.0,82.0,0.6,81.6,91.0,82.0,93.0
New Zealand,7.3,37044.89,5.0,77.0,65.7,1.3,81.7,96.0,80.0,89.0
Norway,7.6,74822.11,5.0,74.0,90.1,0.4,82.5,94.0,78.0,98.0
Poland,6.1,12495.33,22.0,66.0,67.3,0.7,78.0,86.0,55.0,82.0
Portugal,5.4,19121.59,10.0,68.0,73.4,1.0,81.2,88.0,56.0,86.0
Russia,5.8,9054.91,15.0,70.0,52.8,9.6,71.8,89.0,68.0,55.0
Slovak Republic,6.2,15991.74,21.0,66.0,63.5,0.8,77.3,91.0,60.0,85.0
Slovenia,5.9,20732.48,16.0,69.0,86.1,0.6,81.3,92.0,53.0,90.0
South Africa,4.7,5694.57,22.0,43.0,36.1,13.7,57.5,88.0,73.0,67.0
Spain,6.3,25864.72,11.0,62.0,82.1,0.6,83.4,93.0,70.0,72.0
Sweden,7.3,49866.27,6.0,77.0,75.6,0.9,82.4,91.0,86.0,96.0
Switzerland,7.5,80675.31,15.0,80.0,85.3,0.6,83.7,93.0,49.0,95.0
Turkey,5.5,9437.37,20.0,52.0,59.8,1.4,78.0,86.0,86.0,65.0
United Kingdom,6.8,43770.69,11.0,75.0,77.7,0.2,81.2,94.0,69.0,84.0
United States,6.9,55805.2,10.0,70.0,73.9,5.5,78.6,91.0,65.0,83.0
